Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_6636c_00052,TERMINATED,192.168.7.50:43705,256,0.001,0.99,512,0.0,-0.8584,4
train_6636c_00121,TERMINATED,192.168.7.50:102723,256,0.0001,0.99,512,0.0001,-0.8573,4
train_6636c_00148,TERMINATED,192.168.7.50:127813,256,0.001,0.99,128,1e-05,-0.8567,4
train_6636c_00193,TERMINATED,192.168.7.50:23297,256,0.0001,0.99,512,1e-05,-0.8559,4
train_6636c_00168,TERMINATED,192.168.7.50:150040,128,0.0001,0.99,256,1e-05,-0.8555,4
train_6636c_00144,TERMINATED,192.168.7.50:125039,128,0.0001,0.99,128,1e-05,-0.8552,4
train_6636c_00197,TERMINATED,192.168.7.50:26324,512,0.001,0.99,512,1e-05,-0.8526,4
train_6636c_00078,TERMINATED,192.168.7.50:65316,128,0.01,0.99,128,0.0001,-0.8504,12
train_6636c_00172,TERMINATED,192.168.7.50:2016,256,0.001,0.99,256,1e-05,-0.8501,4
train_6636c_00007,TERMINATED,192.168.7.50:149025,256,0.01,0.99,128,0.0,-0.8499,4
train_6636c_00123,TERMINATED,192.168.7.50:104933,128,0.001,0.99,512,0.0001,-0.848,4
train_6636c_00101,TERMINATED,192.168.7.50:87420,512,0.001,0.99,256,0.0001,-0.846,4
train_6636c_00029,TERMINATED,192.168.7.50:22279,512,0.001,0.99,256,0.0,-0.846,4
train_6636c_00207,TERMINATED,192.168.7.50:35715,128,0.001,0.9,512,1e-05,-0.8444,4
train_6636c_00129,TERMINATED,192.168.7.50:109556,128,0.1,0.99,512,0.0001,-0.8435,12
train_6636c_00076,TERMINATED,192.168.7.50:64784,256,0.001,0.99,128,0.0001,-0.8425,4
train_6636c_00004,TERMINATED,192.168.7.50:146755,256,0.001,0.99,128,0.0,-0.8412,4
train_6636c_00048,TERMINATED,192.168.7.50:41110,128,0.0001,0.99,512,0.0,-0.8408,4
train_6636c_00149,TERMINATED,192.168.7.50:128154,512,0.001,0.99,128,1e-05,-0.8394,4
train_6636c_00056,TERMINATED,192.168.7.50:45975,512,0.01,0.99,512,0.0,-0.8391,4
train_6636c_00063,TERMINATED,192.168.7.50:52871,128,0.001,0.9,512,0.0,-0.8329,4
train_6636c_00171,TERMINATED,192.168.7.50:1594,128,0.001,0.99,256,1e-05,-0.8323,4
