Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_3de10_00060,TERMINATED,192.168.7.51:102103,128,0.0001,0.9,512,0.0,9.9305,4
train_3de10_00081,TERMINATED,192.168.7.51:126928,128,0.1,0.99,128,0.0001,9.9324,4
train_3de10_00062,TERMINATED,192.168.7.51:103999,512,0.0001,0.9,512,0.0,9.9326,4
train_3de10_00132,TERMINATED,192.168.7.51:2265,128,0.0001,0.9,512,0.0001,9.935,4
train_3de10_00108,TERMINATED,192.168.7.51:162423,128,0.0001,0.9,256,0.0001,9.937,4
train_3de10_00038,TERMINATED,192.168.7.51:73528,512,0.0001,0.9,256,0.0,9.9416,4
train_3de10_00015,TERMINATED,192.168.7.51:46099,128,0.001,0.9,128,0.0,9.9447,12
train_3de10_00100,TERMINATED,192.168.7.51:153840,256,0.001,0.99,256,0.0001,9.9449,4
train_3de10_00041,TERMINATED,192.168.7.51:76940,512,0.001,0.9,256,0.0,9.9457,12
train_3de10_00182,TERMINATED,192.168.7.51:66965,512,0.0001,0.9,256,1e-05,9.9469,4
train_3de10_00112,TERMINATED,192.168.7.51:165930,256,0.001,0.9,256,0.0001,9.9486,12
train_3de10_00052,TERMINATED,192.168.7.51:94780,256,0.001,0.99,512,0.0,9.9522,4
train_3de10_00109,TERMINATED,192.168.7.51:162979,256,0.0001,0.9,256,0.0001,9.9532,4
train_3de10_00082,TERMINATED,192.168.7.51:130002,256,0.1,0.99,128,0.0001,9.9542,4
train_3de10_00133,TERMINATED,192.168.7.51:2267,256,0.0001,0.9,512,0.0001,9.9551,4
train_3de10_00206,TERMINATED,192.168.7.51:95800,512,0.0001,0.9,512,1e-05,9.9579,4
train_3de10_00181,TERMINATED,192.168.7.51:64759,256,0.0001,0.9,256,1e-05,9.9643,4
train_3de10_00107,TERMINATED,192.168.7.51:159919,512,0.1,0.99,256,0.0001,9.9669,4
train_3de10_00030,TERMINATED,192.168.7.51:66695,128,0.01,0.99,256,0.0,9.968,4
train_3de10_00017,TERMINATED,192.168.7.51:46577,512,0.001,0.9,128,0.0,9.9702,12
train_3de10_00092,TERMINATED,192.168.7.51:141666,512,0.01,0.9,128,0.0001,9.9716,12
train_3de10_00039,TERMINATED,192.168.7.51:74340,128,0.001,0.9,256,0.0,9.9734,12
train_3de10_00083,TERMINATED,192.168.7.51:130794,512,0.1,0.99,128,0.0001,9.9781,4
train_3de10_00040,TERMINATED,192.168.7.51:75813,256,0.001,0.9,256,0.0,9.9798,12
train_3de10_00000,TERMINATED,192.168.7.51:27228,128,0.0001,0.99,128,0.0,9.9853,12
train_3de10_00205,TERMINATED,192.168.7.51:92867,256,0.0001,0.9,512,1e-05,9.9887,4
train_3de10_00061,TERMINATED,192.168.7.51:102174,256,0.0001,0.9,512,0.0,9.9996,4
train_3de10_00134,TERMINATED,192.168.7.51:4675,512,0.0001,0.9,512,0.0001,9.9999,4
train_3de10_00016,TERMINATED,192.168.7.51:46165,256,0.001,0.9,128,0.0,10.0373,12
train_3de10_00002,TERMINATED,192.168.7.51:27699,512,0.0001,0.99,128,0.0,10.0528,12
train_3de10_00006,TERMINATED,192.168.7.51:37196,128,0.01,0.99,128,0.0,10.0628,4
train_3de10_00004,TERMINATED,192.168.7.51:32136,256,0.001,0.99,128,0.0,10.0683,12
train_3de10_00126,TERMINATED,192.168.7.51:185761,128,0.01,0.99,512,0.0001,10.0747,4
train_3de10_00055,TERMINATED,192.168.7.51:97877,256,0.01,0.99,512,0.0,10.0793,4
train_3de10_00105,TERMINATED,192.168.7.51:159488,128,0.1,0.99,256,0.0001,10.0876,4
train_3de10_00198,TERMINATED,192.168.7.51:88506,128,0.01,0.99,512,1e-05,10.0877,4
train_3de10_00003,TERMINATED,192.168.7.51:27770,128,0.001,0.99,128,0.0,10.0941,12
train_3de10_00009,TERMINATED,192.168.7.51:39382,128,0.1,0.99,128,0.0,10.0951,4
train_3de10_00087,TERMINATED,192.168.7.51:134260,128,0.001,0.9,128,0.0001,10.0989,12
train_3de10_00005,TERMINATED,192.168.7.51:36529,512,0.001,0.99,128,0.0,10.1021,12
train_3de10_00154,TERMINATED,192.168.7.51:32573,256,0.1,0.99,128,1e-05,10.1182,4
train_3de10_00131,TERMINATED,192.168.7.51:2192,512,0.1,0.99,512,0.0001,10.1451,4
train_3de10_00153,TERMINATED,192.168.7.51:29067,128,0.1,0.99,128,1e-05,10.1474,4
train_3de10_00174,TERMINATED,192.168.7.51:59442,128,0.01,0.99,256,1e-05,10.1525,4
train_3de10_00130,TERMINATED,192.168.7.51:1617,256,0.1,0.99,512,0.0001,10.1704,4
