Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_c4c15_00047,TERMINATED,192.168.7.51:44541,512,0.1,0.9,256,0.0,64.8204,4
train_c4c15_00045,TERMINATED,192.168.7.51:41715,128,0.1,0.9,256,0.0,64.8995,4
train_c4c15_00043,TERMINATED,192.168.7.51:41705,256,0.01,0.9,256,0.0,65.0702,4
train_c4c15_00119,TERMINATED,192.168.7.51:126472,512,0.1,0.9,256,0.0001,68.9912,4
train_c4c15_00191,TERMINATED,192.168.7.51:23647,512,0.1,0.9,256,1e-05,69.2232,4
train_c4c15_00117,TERMINATED,192.168.7.51:124442,128,0.1,0.9,256,0.0001,74.2296,4
train_c4c15_00098,TERMINATED,192.168.7.51:105666,512,0.0001,0.99,256,0.0001,79.4375,4
train_c4c15_00169,TERMINATED,192.168.7.51:186337,256,0.0001,0.99,256,1e-05,81.2638,4
train_c4c15_00171,TERMINATED,192.168.7.51:2506,128,0.001,0.99,256,1e-05,82.2105,4
train_c4c15_00170,TERMINATED,192.168.7.51:2307,512,0.0001,0.99,256,1e-05,83.1268,4
train_c4c15_00062,TERMINATED,192.168.7.51:58550,512,0.0001,0.9,512,0.0,83.5723,4
train_c4c15_00025,TERMINATED,192.168.7.51:25279,256,0.0001,0.99,256,0.0,83.9515,4
train_c4c15_00172,TERMINATED,192.168.7.51:4302,256,0.001,0.99,256,1e-05,84.0424,4
train_c4c15_00133,TERMINATED,192.168.7.51:138967,256,0.0001,0.9,512,0.0001,85.3742,4
train_c4c15_00205,TERMINATED,192.168.7.51:37399,256,0.0001,0.9,512,1e-05,85.5963,4
train_c4c15_00134,TERMINATED,192.168.7.51:140322,512,0.0001,0.9,512,0.0001,87.1758,4
train_c4c15_00029,TERMINATED,192.168.7.51:28639,512,0.001,0.99,256,0.0,87.1954,4
train_c4c15_00132,TERMINATED,192.168.7.51:138869,128,0.0001,0.9,512,0.0001,88.1071,4
train_c4c15_00026,TERMINATED,192.168.7.51:27203,512,0.0001,0.99,256,0.0,89.4393,4
train_c4c15_00204,TERMINATED,192.168.7.51:36959,128,0.0001,0.9,512,1e-05,91.0956,4
train_c4c15_00206,TERMINATED,192.168.7.51:38373,512,0.0001,0.9,512,1e-05,92.6378,4
train_c4c15_00061,TERMINATED,192.168.7.51:55988,256,0.0001,0.9,512,0.0,93.6797,4
train_c4c15_00060,TERMINATED,192.168.7.51:55595,128,0.0001,0.9,512,0.0,94.6779,4
train_c4c15_00099,TERMINATED,192.168.7.51:106814,128,0.001,0.99,256,0.0001,97.1827,4
train_c4c15_00168,TERMINATED,192.168.7.51:182145,128,0.0001,0.99,256,1e-05,98.2415,4
train_c4c15_00096,TERMINATED,192.168.7.51:101890,128,0.0001,0.99,256,0.0001,98.6101,4
train_c4c15_00100,TERMINATED,192.168.7.51:107727,256,0.001,0.99,256,0.0001,98.6658,4
train_c4c15_00027,TERMINATED,192.168.7.51:27610,128,0.001,0.99,256,0.0,101.026,4
train_c4c15_00024,TERMINATED,192.168.7.51:25211,128,0.0001,0.99,256,0.0,101.18,4
train_c4c15_00176,TERMINATED,192.168.7.51:7780,512,0.01,0.99,256,1e-05,101.6484,4
train_c4c15_00101,TERMINATED,192.168.7.51:108161,512,0.001,0.99,256,0.0001,101.6884,4
train_c4c15_00174,TERMINATED,192.168.7.51:6310,128,0.01,0.99,256,1e-05,102.373,4
train_c4c15_00173,TERMINATED,192.168.7.51:4388,512,0.001,0.99,256,1e-05,102.8538,4
train_c4c15_00097,TERMINATED,192.168.7.51:104505,256,0.0001,0.99,256,0.0001,103.166,4
train_c4c15_00028,TERMINATED,192.168.7.51:27678,256,0.001,0.99,256,0.0,103.2111,4
train_c4c15_00103,TERMINATED,192.168.7.51:109920,256,0.01,0.99,256,0.0001,103.656,4
train_c4c15_00032,TERMINATED,192.168.7.51:31447,512,0.01,0.99,256,0.0,105.6567,4
train_c4c15_00135,TERMINATED,192.168.7.51:140406,128,0.001,0.9,512,0.0001,114.2655,4
train_c4c15_00031,TERMINATED,192.168.7.51:30733,256,0.01,0.99,256,0.0,114.4004,4
train_c4c15_00063,TERMINATED,192.168.7.51:59268,128,0.001,0.9,512,0.0,115.7606,4
train_c4c15_00033,TERMINATED,192.168.7.51:32095,128,0.1,0.99,256,0.0,115.9237,4
train_c4c15_00175,TERMINATED,192.168.7.51:6351,256,0.01,0.99,256,1e-05,121.6127,4
train_c4c15_00064,TERMINATED,192.168.7.51:59347,256,0.001,0.9,512,0.0,123.0627,4
train_c4c15_00207,TERMINATED,192.168.7.51:38785,128,0.001,0.9,512,1e-05,124.7442,4
train_c4c15_00107,TERMINATED,192.168.7.51:113418,512,0.1,0.99,256,0.0001,126.7058,4
